バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性
HEROIC VERSE,Everlasting Message,NORMAL,7,638,PEAK
HEROIC VERSE,Everlasting Message,HYPER,10,1197,PEAK
HEROIC VERSE,Everlasting Message,ANOTHER,12,1970,CHARGE
Resort Anthem,Everlasting Resort,NORMAL,4,448,NOTES
Resort Anthem,Everlasting Resort,HYPER,7,,
Resort Anthem,Everlasting Resort,ANOTHER,10,959,CHARGE
Pinky Crush,EX-MASSIVE FIGHTER,NORMAL,6,619,NOTES
Pinky Crush,EX-MASSIVE FIGHTER,HYPER,10,1091,NOTES
Pinky Crush,EX-MASSIVE FIGHTER,ANOTHER,12,1725,CHORD
tricoro,examination leave,NORMAL,6,585,NOTES
tricoro,examination leave,HYPER,9,972,NOTES
tricoro,examination leave,ANOTHER,11,1712,CHORD
copula,Exchange Place,NORMAL,4,388,NOTES
copula,Exchange Place,HYPER,7,,
copula,Exchange Place,ANOTHER,9,903,PEAK
10th style,EXE,NORMAL,4,448,NOTES
10th style,EXE,HYPER,8,829,NOTES
10th style,EXE,ANOTHER,10,1131,NOTES
CANNON BALLERS,Exhaust Hype,NORMAL,5,,
CANNON BALLERS,Exhaust Hype,HYPER,9,994,NOTES
CANNON BALLERS,Exhaust Hype,ANOTHER,11,1426,CHORD
RESIDENT,EXODUS SIGN,NORMAL,6,626,NOTES
RESIDENT,EXODUS SIGN,HYPER,9,921,NOTES
RESIDENT,EXODUS SIGN,ANOTHER,11,1366,SCRATCH
CANNON BALLERS,Expanded !!,NORMAL,4,341,NOTES
CANNON BALLERS,Expanded !!,HYPER,8,788,NOTES
CANNON BALLERS,Expanded !!,ANOTHER,10,1324,CHORD
BISTROVER,Explorer feat. ぷにぷに電機,NORMAL,4,382,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,HYPER,7,661,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,ANOTHER,10,1082,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,LEGGENDARIA,11,1461,NOTES
Lincle,Express Emotion,NORMAL,4,,
Lincle,Express Emotion,HYPER,6,521,NOTES
Lincle,Express Emotion,ANOTHER,10,1271,NOTES
SPADA,EXTREME MACH COLLIDER,NORMAL,5,,
SPADA,EXTREME MACH COLLIDER,HYPER,8,,
SPADA,EXTREME MACH COLLIDER,ANOTHER,11,1305,NOTES
SIRIUS,EXUSIA,NORMAL,6,628,NOTES
SIRIUS,EXUSIA,HYPER,10,1417,NOTES
SIRIUS,EXUSIA,ANOTHER,12,1964,NOTES
Lincle,F,NORMAL,5,532,NOTES
Lincle,F,HYPER,10,1099,NOTES
Lincle,F,ANOTHER,12,1813,NOTES
RESIDENT,Fading Stars,NORMAL,5,553,NOTES/PEAK
RESIDENT,Fading Stars,HYPER,8,831,NOTES
RESIDENT,Fading Stars,ANOTHER,10,1367,NOTES
HEROIC VERSE,fairy cocktail,NORMAL,3,230,PEAK
HEROIC VERSE,fairy cocktail,HYPER,6,559,NOTES
HEROIC VERSE,fairy cocktail,ANOTHER,8,828,NOTES
INFINITAS,FAKE STYLE II,NORMAL,4,,
INFINITAS,FAKE STYLE II,HYPER,7,,
INFINITAS,FAKE STYLE II,ANOTHER,10,1161,SCRATCH
PENDUAL,fallen leaves -IIDX edition-,NORMAL,6,,
PENDUAL,fallen leaves -IIDX edition-,HYPER,10,1085,CHARGE
PENDUAL,fallen leaves -IIDX edition-,ANOTHER,12,1745,NOTES
Resort Anthem,Fantasia,BEGINNER,1,122,PEAK
Resort Anthem,Fantasia,NORMAL,3,201,PEAK
Resort Anthem,Fantasia,HYPER,8,781,NOTES
Resort Anthem,Fantasia,ANOTHER,10,1123,CHORD
CastHour,Fantastic Merry-Go-Round,NORMAL,4,,
CastHour,Fantastic Merry-Go-Round,HYPER,7,757,NOTES
CastHour,Fantastic Merry-Go-Round,ANOTHER,9,1061,NOTES
PENDUAL,FANTASTIC THREE,NORMAL,7,698,NOTES
PENDUAL,FANTASTIC THREE,HYPER,10,1166,PEAK
PENDUAL,FANTASTIC THREE,ANOTHER,12,1649,NOTES
Lincle,Far east nightbird,BEGINNER,2,180,PEAK
Lincle,Far east nightbird,NORMAL,3,264,PEAK
Lincle,Far east nightbird,HYPER,7,682,NOTES
Lincle,Far east nightbird,ANOTHER,9,1025,NOTES
BISTROVER,Farewell to Marrakech,NORMAL,5,466,PEAK
BISTROVER,Farewell to Marrakech,HYPER,8,786,PEAK
BISTROVER,Farewell to Marrakech,ANOTHER,11,1162,PEAK
GOLD,Fascination MAXX,NORMAL,9,508,SOF-LAN
GOLD,Fascination MAXX,HYPER,11,876,SOF-LAN
GOLD,Fascination MAXX,ANOTHER,12,1313,SOF-LAN
INFINITAS,FEEDING FRENZY,NORMAL,7,677,PEAK
INFINITAS,FEEDING FRENZY,HYPER,10,1094,PEAK
INFINITAS,FEEDING FRENZY,ANOTHER,12,1549,PEAK
10th style,FEEL IT,NORMAL,5,474,NOTES
10th style,FEEL IT,HYPER,9,888,PEAK
10th style,FEEL IT,ANOTHER,10,1013,PEAK
SPADA,Feel The Beat,NORMAL,7,689,SCRATCH
SPADA,Feel The Beat,HYPER,10,1129,SCRATCH
SPADA,Feel The Beat,ANOTHER,12,1830,NOTES
SPADA,Feel The Beat,LEGGENDARIA,12,2225,PEAK
CastHour,Fegrix,NORMAL,6,640,NOTES
CastHour,Fegrix,HYPER,10,1172,NOTES
CastHour,Fegrix,ANOTHER,12,1687,NOTES
CANNON BALLERS,Fervidex,NORMAL,5,,
CANNON BALLERS,Fervidex,HYPER,9,915,PEAK
CANNON BALLERS,Fervidex,ANOTHER,11,1361,CHORD
Lincle,fffff,NORMAL,4,431,NOTES
Lincle,fffff,HYPER,10,1109,NOTES
Lincle,fffff,ANOTHER,12,1624,NOTES
CastHour,FINALLY BLAZE,NORMAL,5,,
CastHour,FINALLY BLAZE,HYPER,9,905,NOTES
CastHour,FINALLY BLAZE,ANOTHER,11,1424,NOTES
CANNON BALLERS,FIRE BALL,NORMAL,5,,
CANNON BALLERS,FIRE BALL,HYPER,9,,
CANNON BALLERS,FIRE BALL,ANOTHER,11,1265,NOTES
BISTROVER,Fire Beat,NORMAL,6,567,NOTES
BISTROVER,Fire Beat,HYPER,10,935,NOTES
BISTROVER,Fire Beat,ANOTHER,12,1392,NOTES
GOLD,FIRE FIRE,BEGINNER,3,287,SCRATCH
GOLD,FIRE FIRE,NORMAL,7,616,SCRATCH
GOLD,FIRE FIRE,HYPER,10,927,SCRATCH
GOLD,FIRE FIRE,ANOTHER,12,1405,PEAK
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,NORMAL,5,573,NOTES
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,HYPER,8,961,NOTES
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,ANOTHER,10,1455,NOTES
EMPRESS,Flash Back 90's,NORMAL,4,467,PEAK
EMPRESS,Flash Back 90's,HYPER,8,,
EMPRESS,Flash Back 90's,ANOTHER,10,1179,NOTES
EMPRESS,Flash Back 90's,LEGGENDARIA,11,1470,PEAK
PENDUAL,Flashes,NORMAL,6,489,NOTES
PENDUAL,Flashes,HYPER,9,931,NOTES
PENDUAL,Flashes,ANOTHER,12,1691,NOTES
Lincle,Flip Flap,NORMAL,3,294,NOTES
Lincle,Flip Flap,HYPER,7,,
Lincle,Flip Flap,ANOTHER,10,1137,CHORD
tricoro,FLOWER,BEGINNER,2,182,PEAK
tricoro,FLOWER,NORMAL,6,575,PEAK
tricoro,FLOWER,HYPER,9,915,NOTES
tricoro,FLOWER,ANOTHER,11,1460,PEAK
4th style,FLOWERS for ALBION,NORMAL,2,122,SOF-LAN
4th style,FLOWERS for ALBION,HYPER,5,222,PEAK
8th style,FLUTE MAN,NORMAL,4,,
8th style,FLUTE MAN,HYPER,7,,
8th style,FLUTE MAN,ANOTHER,8,553,PEAK
EMPRESS,Fly Above,NORMAL,5,482,PEAK
EMPRESS,Fly Above,HYPER,6,815,NOTES
EMPRESS,Fly Above,ANOTHER,8,1016,CHORD
6th style,fly through the night,NORMAL,4,452,PEAK
6th style,fly through the night,HYPER,7,688,PEAK
6th style,fly through the night,ANOTHER,8,863,PEAK
tricoro,Fly you to the star,NORMAL,4,393,SCRATCH
tricoro,Fly you to the star,HYPER,8,818,NOTES
tricoro,Fly you to the star,ANOTHER,10,1144,NOTES
CastHour,Flying Castle,NORMAL,6,548,NOTES
CastHour,Flying Castle,HYPER,10,1162,NOTES
CastHour,Flying Castle,ANOTHER,12,1877,NOTES
Lincle,Follow Tomorrow,NORMAL,4,,
Lincle,Follow Tomorrow,HYPER,8,754,NOTES
Lincle,Follow Tomorrow,ANOTHER,10,1142,CHORD
HEROIC VERSE,Forgetting Machine,NORMAL,5,,
HEROIC VERSE,Forgetting Machine,HYPER,8,634,NOTES
HEROIC VERSE,Forgetting Machine,ANOTHER,10,868,NOTES
DJ TROOPERS,four pieces of heaven,NORMAL,5,481,SOF-LAN
DJ TROOPERS,four pieces of heaven,HYPER,10,988,SOF-LAN
DJ TROOPERS,four pieces of heaven,ANOTHER,11,1225,SOF-LAN
DJ TROOPERS,four pieces of heaven,LEGGENDARIA,12,1518,PEAK
GOLD,four-leaf,NORMAL,4,386,PEAK
GOLD,four-leaf,HYPER,6,642,PEAK
GOLD,four-leaf,ANOTHER,8,867,PEAK
tricoro,Fractal,NORMAL,6,,
tricoro,Fractal,HYPER,9,,
tricoro,Fractal,ANOTHER,11,1512,NOTES
6th style,Free Style,NORMAL,5,473,NOTES
6th style,Free Style,HYPER,6,571,NOTES
6th style,Free Style,ANOTHER,7,664,NOTES
CANNON BALLERS,FREEDOM,NORMAL,5,511,SCRATCH
CANNON BALLERS,FREEDOM,HYPER,8,880,NOTES
CANNON BALLERS,FREEDOM,ANOTHER,11,1481,CHORD
DJ TROOPERS,Freeway Shuffle,BEGINNER,2,173,PEAK
DJ TROOPERS,Freeway Shuffle,NORMAL,4,411,NOTES
DJ TROOPERS,Freeway Shuffle,HYPER,7,650,NOTES
DJ TROOPERS,Freeway Shuffle,ANOTHER,10,949,PEAK
EPOLIS,frequent,NORMAL,5,,
EPOLIS,frequent,HYPER,10,1178,NOTES
EPOLIS,frequent,ANOTHER,12,1900,NOTES
HEROIC VERSE,Friction[!]Function,NORMAL,6,560,PEAK
HEROIC VERSE,Friction[!]Function,HYPER,9,911,NOTES
HEROIC VERSE,Friction[!]Function,ANOTHER,12,1634,NOTES
BISTROVER,Frisk And Squeak,NORMAL,4,407,NOTES
BISTROVER,Frisk And Squeak,HYPER,8,801,PEAK
BISTROVER,Frisk And Squeak,ANOTHER,10,1228,NOTES
CANNON BALLERS,From Time To Time,NORMAL,4,404,NOTES
CANNON BALLERS,From Time To Time,HYPER,9,983,CHORD
CANNON BALLERS,From Time To Time,ANOTHER,10,1293,NOTES
6th style,Frozen Ray (original mix),NORMAL,6,,
6th style,Frozen Ray (original mix),HYPER,9,897,NOTES
6th style,Frozen Ray (original mix),ANOTHER,9,909,NOTES
9th style,fun,NORMAL,4,,
9th style,fun,HYPER,7,,
9th style,fun,ANOTHER,10,950,SOF-LAN
SPADA,Funny shuffle,NORMAL,3,309,NOTES
SPADA,Funny shuffle,HYPER,6,590,NOTES
SPADA,Funny shuffle,ANOTHER,11,1199,PEAK
CANNON BALLERS,FUTURE is Dead,NORMAL,5,,
CANNON BALLERS,FUTURE is Dead,HYPER,8,767,PEAK
CANNON BALLERS,FUTURE is Dead,ANOTHER,11,1151,SOF-LAN
SINOBUZ,FUZIN RIZIN,NORMAL,5,609,NOTES
SINOBUZ,FUZIN RIZIN,HYPER,9,1008,NOTES
SINOBUZ,FUZIN RIZIN,ANOTHER,12,1929,NOTES
6th style,G2,NORMAL,8,752,NOTES
6th style,G2,HYPER,9,,
6th style,G2,ANOTHER,11,1188,NOTES
SIRIUS,G59,NORMAL,7,906,NOTES
SIRIUS,G59,HYPER,10,1210,NOTES
SIRIUS,G59,ANOTHER,12,2000,CHORD
tricoro,GAIA,NORMAL,5,527,PEAK
tricoro,GAIA,HYPER,10,1149,PEAK
tricoro,GAIA,ANOTHER,12,1676,NOTES
SIRIUS,GALGALIM,NORMAL,6,733,NOTES
SIRIUS,GALGALIM,HYPER,10,1036,NOTES
SIRIUS,GALGALIM,ANOTHER,11,1208,NOTES
1st&substream,GAMBOL,NORMAL,2,137,PEAK
1st&substream,GAMBOL,HYPER,2,137,PEAK
CastHour,Game Changers,NORMAL,4,390,PEAK
CastHour,Game Changers,HYPER,8,740,SCRATCH
CastHour,Game Changers,ANOTHER,11,1395,SCRATCH
DistorteD,Ganymede,NORMAL,6,,
DistorteD,Ganymede,HYPER,10,884,PEAK
DistorteD,Ganymede,ANOTHER,11,1199,PEAK
DistorteD,Ganymede,LEGGENDARIA,12,1356,PEAK
HAPPY SKY,garden,NORMAL,4,440,PEAK
HAPPY SKY,garden,HYPER,7,773,NOTES
HAPPY SKY,garden,ANOTHER,10,1100,CHORD
Rootage,Garuda,NORMAL,5,,
Rootage,Garuda,HYPER,9,842,NOTES
Rootage,Garuda,ANOTHER,11,1323,NOTES
Rootage,Geirskogul,NORMAL,5,545,NOTES
Rootage,Geirskogul,HYPER,8,808,PEAK
Rootage,Geirskogul,ANOTHER,10,1128,PEAK
Rootage,GENE,NORMAL,7,664,PEAK
Rootage,GENE,HYPER,10,1009,NOTES
Rootage,GENE,ANOTHER,12,2183,NOTES
copula,GENERATE feat.綾倉盟,NORMAL,5,573,NOTES
copula,GENERATE feat.綾倉盟,HYPER,8,892,NOTES
copula,GENERATE feat.綾倉盟,ANOTHER,10,1182,NOTES
IIDX RED,GENOCIDE,NORMAL,6,587,PEAK
IIDX RED,GENOCIDE,HYPER,10,1103,NOTES
IIDX RED,GENOCIDE,ANOTHER,11,1222,NOTES
1st&substream,GENOM SCREAMS,NORMAL,3,,
1st&substream,GENOM SCREAMS,HYPER,6,417,NOTES
1st&substream,GENOM SCREAMS,ANOTHER,9,536,PEAK
EPOLIS,Get Higher,NORMAL,6,496,PEAK
EPOLIS,Get Higher,HYPER,9,889,PEAK
EPOLIS,Get Higher,ANOTHER,11,1171,PEAK
RESIDENT,Get On Your Feet,NORMAL,5,573,NOTES
RESIDENT,Get On Your Feet,HYPER,9,914,NOTES
RESIDENT,Get On Your Feet,ANOTHER,11,1384,NOTES
copula,GET READY!!,NORMAL,6,,
copula,GET READY!!,HYPER,9,,
copula,GET READY!!,ANOTHER,11,1365,CHORD
CastHour,Get set， Go! feat.Kanae Asaba,NORMAL,4,425,NOTES
CastHour,Get set， Go! feat.Kanae Asaba,HYPER,7,740,NOTES
CastHour,Get set， Go! feat.Kanae Asaba,ANOTHER,10,1069,NOTES
RESIDENT,GET UP AGAIN,NORMAL,6,,
RESIDENT,GET UP AGAIN,HYPER,8,856,NOTES
RESIDENT,GET UP AGAIN,ANOTHER,10,1226,NOTES
CANNON BALLERS,Get Up! feat. Kanae Asaba,NORMAL,3,296,PEAK
CANNON BALLERS,Get Up! feat. Kanae Asaba,HYPER,7,645,PEAK
CANNON BALLERS,Get Up! feat. Kanae Asaba,ANOTHER,9,966,NOTES
EPOLIS,Get Wicked,NORMAL,5,454,NOTES
EPOLIS,Get Wicked,HYPER,8,744,NOTES
EPOLIS,Get Wicked,ANOTHER,10,1251,CHORD
HAPPY SKY,Get'em up to R.A.V.E,NORMAL,5,,
HAPPY SKY,Get'em up to R.A.V.E,HYPER,8,892,NOTES
HAPPY SKY,Get'em up to R.A.V.E,ANOTHER,10,1158,NOTES
INFINITAS,GHEL NAGARAJA,NORMAL,6,,
INFINITAS,GHEL NAGARAJA,HYPER,10,1141,NOTES
INFINITAS,GHEL NAGARAJA,ANOTHER,12,1877,NOTES
HEROIC VERSE,GHOST,NORMAL,5,,
HEROIC VERSE,GHOST,HYPER,8,767,PEAK
HEROIC VERSE,GHOST,ANOTHER,11,1403,PEAK
EPOLIS,Ghost Pulse,NORMAL,6,,
EPOLIS,Ghost Pulse,HYPER,9,852,PEAK
EPOLIS,Ghost Pulse,ANOTHER,12,1409,PEAK
10th style,GHOST REVIVAL,NORMAL,5,466,PEAK
10th style,GHOST REVIVAL,HYPER,9,1049,NOTES
10th style,GHOST REVIVAL,ANOTHER,10,1311,NOTES
BISTROVER,GIGA RAID,NORMAL,5,,
BISTROVER,GIGA RAID,HYPER,9,951,NOTES
BISTROVER,GIGA RAID,ANOTHER,11,1222,CHARGE
Rootage,GIGA THRASH,NORMAL,6,643,NOTES
Rootage,GIGA THRASH,HYPER,9,970,NOTES
Rootage,GIGA THRASH,ANOTHER,11,1400,NOTES
HEROIC VERSE,GIGA VIOLATE,NORMAL,6,565,PEAK
HEROIC VERSE,GIGA VIOLATE,HYPER,8,833,NOTES
HEROIC VERSE,GIGA VIOLATE,ANOTHER,11,1392,NOTES
IIDX RED,gigadelic,BEGINNER,3,,
IIDX RED,gigadelic,NORMAL,9,771,PEAK
IIDX RED,gigadelic,HYPER,12,1116,PEAK
IIDX RED,gigadelic,ANOTHER,12,1301,PEAK
CastHour,GiGaGaHell,NORMAL,7,698,NOTES
CastHour,GiGaGaHell,HYPER,10,1077,NOTES
CastHour,GiGaGaHell,ANOTHER,12,1687,PEAK
Lincle,GIGANT,NORMAL,3,297,NOTES
Lincle,GIGANT,HYPER,6,601,NOTES
Lincle,GIGANT,ANOTHER,9,890,NOTES
INFINITAS,Gimme a Big Beat,NORMAL,5,,
INFINITAS,Gimme a Big Beat,HYPER,8,,
INFINITAS,Gimme a Big Beat,ANOTHER,10,1117,CHORD
EPOLIS,Glitch N Ride,NORMAL,7,461,SOF-LAN
EPOLIS,Glitch N Ride,HYPER,10,834,SOF-LAN
EPOLIS,Glitch N Ride,ANOTHER,12,1389,SOF-LAN
8th style,Giudecca,NORMAL,4,470,NOTES
8th style,Giudecca,HYPER,9,1016,NOTES
8th style,Giudecca,ANOTHER,11,1381,PEAK
SPADA,Give Me Your Love,NORMAL,4,,
SPADA,Give Me Your Love,HYPER,7,,
SPADA,Give Me Your Love,ANOTHER,9,946,CHORD
BISTROVER,Globe Glitter,NORMAL,5,,
BISTROVER,Globe Glitter,HYPER,8,849,NOTES
BISTROVER,Globe Glitter,ANOTHER,11,1369,NOTES
EPOLIS,GloriosA,NORMAL,6,,
EPOLIS,GloriosA,HYPER,9,1015,NOTES
EPOLIS,GloriosA,ANOTHER,11,1437,NOTES
7th style,Glorious Days,NORMAL,3,262,SOF-LAN
7th style,Glorious Days,HYPER,5,411,SOF-LAN
7th style,Glorious Days,ANOTHER,6,463,SOF-LAN
EPOLIS,GLORIOUS HAMMER,NORMAL,6,560,NOTES
EPOLIS,GLORIOUS HAMMER,HYPER,9,993,NOTES
EPOLIS,GLORIOUS HAMMER,ANOTHER,11,1587,NOTES
Rootage,Glory,NORMAL,4,390,PEAK
Rootage,Glory,HYPER,7,,
Rootage,Glory,ANOTHER,9,1185,NOTES
SINOBUZ,Go Ahead!!,NORMAL,7,521,PEAK
SINOBUZ,Go Ahead!!,HYPER,10,810,PEAK
SINOBUZ,Go Ahead!!,ANOTHER,12,1413,PEAK
EMPRESS,Go Beyond!!,BEGINNER,3,,
EMPRESS,Go Beyond!!,NORMAL,6,,
EMPRESS,Go Beyond!!,HYPER,10,899,PEAK
EMPRESS,Go Beyond!!,ANOTHER,12,1166,PEAK
copula,Go Faraway,NORMAL,5,520,NOTES
copula,Go Faraway,HYPER,7,766,NOTES
copula,Go Faraway,ANOTHER,10,1259,NOTES
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,NORMAL,6,548,PEAK
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,HYPER,10,1160,NOTES
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,ANOTHER,12,2000,CHORD
Pinky Crush,God Mind,NORMAL,7,780,SCRATCH
Pinky Crush,God Mind,HYPER,10,1349,NOTES
Pinky Crush,God Mind,ANOTHER,12,2155,NOTES
copula,Godspeed,NORMAL,7,,
copula,Godspeed,HYPER,10,1002,NOTES
copula,Godspeed,ANOTHER,12,1631,NOTES
GOLD,GOLD RUSH,BEGINNER,3,,
GOLD,GOLD RUSH,NORMAL,7,608,NOTES
GOLD,GOLD RUSH,HYPER,9,764,NOTES
GOLD,GOLD RUSH,ANOTHER,11,1199,NOTES
Resort Anthem,Golden Palms,NORMAL,5,377,NOTES
Resort Anthem,Golden Palms,HYPER,8,758,CHARGE
Resort Anthem,Golden Palms,ANOTHER,10,1036,CHARGE
Resort Anthem,Golden Palms,LEGGENDARIA,11,1240,CHARGE
10th style,GRADIUS -FULL SPEED-,NORMAL,4,385,SOF-LAN
10th style,GRADIUS -FULL SPEED-,HYPER,8,643,SOF-LAN
10th style,GRADIUS -FULL SPEED-,ANOTHER,10,1074,SOF-LAN
tricoro,GRADIUS 2012,NORMAL,5,,
tricoro,GRADIUS 2012,HYPER,8,869,CHARGE
tricoro,GRADIUS 2012,ANOTHER,10,1380,NOTES
1st&substream,GRADIUSIC CYBER,NORMAL,5,442,NOTES
1st&substream,GRADIUSIC CYBER,HYPER,6,508,PEAK
1st&substream,GRADIUSIC CYBER,ANOTHER,7,609,NOTES
copula,Grand Chariot,NORMAL,7,588,NOTES
copula,Grand Chariot,HYPER,10,989,NOTES
copula,Grand Chariot,ANOTHER,12,1775,NOTES
PENDUAL,Gravigazer,NORMAL,5,,
PENDUAL,Gravigazer,HYPER,10,966,NOTES
PENDUAL,Gravigazer,ANOTHER,12,1533,NOTES
INFINITAS,GRAVITON,NORMAL,6,597,NOTES
INFINITAS,GRAVITON,HYPER,10,1040,NOTES
INFINITAS,GRAVITON,ANOTHER,12,1762,NOTES
HAPPY SKY,GREEN EYES,NORMAL,6,507,PEAK
HAPPY SKY,GREEN EYES,HYPER,8,827,PEAK
HAPPY SKY,GREEN EYES,ANOTHER,10,1123,NOTES
GOLD,GRID KNIGHT,NORMAL,6,,
GOLD,GRID KNIGHT,HYPER,8,1012,PEAK
GOLD,GRID KNIGHT,ANOTHER,10,1328,CHORD
GOLD,GRID KNIGHT,LEGGENDARIA,12,1744,CHORD
INFINITAS,GROOVE 04,NORMAL,4,,
INFINITAS,GROOVE 04,HYPER,7,,
INFINITAS,GROOVE 04,ANOTHER,9,960,CHORD
PENDUAL,GUILTY,NORMAL,5,509,NOTES
PENDUAL,GUILTY,HYPER,8,798,NOTES
PENDUAL,GUILTY,ANOTHER,10,966,NOTES
SINOBUZ,GuNGNiR,NORMAL,7,684,NOTES
SINOBUZ,GuNGNiR,HYPER,11,1397,NOTES
SINOBUZ,GuNGNiR,ANOTHER,12,2081,NOTES
SINOBUZ,GuNGNiR,LEGGENDARIA,12,2443,NOTES
SINOBUZ,HADES,BEGINNER,2,197,PEAK
SINOBUZ,HADES,NORMAL,5,,
SINOBUZ,HADES,HYPER,9,950,NOTES
SINOBUZ,HADES,ANOTHER,12,1601,PEAK
Lincle,HAERETICUS,NORMAL,5,,
Lincle,HAERETICUS,HYPER,10,1000,PEAK
Lincle,HAERETICUS,ANOTHER,12,1589,PEAK
GOLD,HALF MOON,NORMAL,4,,
GOLD,HALF MOON,HYPER,8,,
GOLD,HALF MOON,ANOTHER,10,953,PEAK
7th style,Happy Wedding,NORMAL,6,620,NOTES
7th style,Happy Wedding,HYPER,7,872,PEAK
7th style,Happy Wedding,ANOTHER,8,940,NOTES
HAPPY SKY,HAPPY☆ANGEL,BEGINNER,3,332,NOTES
HAPPY SKY,HAPPY☆ANGEL,NORMAL,5,555,NOTES
HAPPY SKY,HAPPY☆ANGEL,HYPER,7,782,NOTES
HAPPY SKY,HAPPY☆ANGEL,ANOTHER,10,1052,NOTES
INFINITAS,HAPPY☆LUCKY☆YEAPPY,NORMAL,5,,
INFINITAS,HAPPY☆LUCKY☆YEAPPY,HYPER,9,,
INFINITAS,HAPPY☆LUCKY☆YEAPPY,ANOTHER,11,1467,NOTES
Rootage,HARD BRAIN,NORMAL,6,701,NOTES
Rootage,HARD BRAIN,HYPER,9,1044,NOTES
Rootage,HARD BRAIN,ANOTHER,12,1914,NOTES
EPOLIS,Hard Breaker,NORMAL,4,,
EPOLIS,Hard Breaker,HYPER,8,793,NOTES
EPOLIS,Hard Breaker,ANOTHER,10,1286,NOTES
CastHour,hard-wired,NORMAL,7,,
CastHour,hard-wired,HYPER,10,1208,PEAK
CastHour,hard-wired,ANOTHER,12,1901,PEAK
Resort Anthem,Hardcore Mania,NORMAL,6,,
Resort Anthem,Hardcore Mania,HYPER,8,,
Resort Anthem,Hardcore Mania,ANOTHER,10,1101,NOTES
INFINITAS,Harmonia,NORMAL,4,376,NOTES
INFINITAS,Harmonia,HYPER,7,629,NOTES
INFINITAS,Harmonia,ANOTHER,10,1013,NOTES
DistorteD,Harmony and Lovely,NORMAL,4,457,PEAK
DistorteD,Harmony and Lovely,HYPER,8,902,NOTES
DistorteD,Harmony and Lovely,ANOTHER,11,1127,PEAK
CastHour,Hat Surprise,NORMAL,4,349,SCRATCH
CastHour,Hat Surprise,HYPER,8,825,NOTES
CastHour,Hat Surprise,ANOTHER,11,1234,NOTES
RESIDENT,Hat Surprise (Season 2),NORMAL,5,514,NOTES
RESIDENT,Hat Surprise (Season 2),HYPER,9,928,NOTES
RESIDENT,Hat Surprise (Season 2),ANOTHER,12,1729,NOTES
EPOLIS,Hat Surprise (Season 3),NORMAL,6,,
EPOLIS,Hat Surprise (Season 3),HYPER,10,1107,NOTES
EPOLIS,Hat Surprise (Season 3),ANOTHER,11,1384,NOTES
CANNON BALLERS,HAT TRICK,NORMAL,5,,
CANNON BALLERS,HAT TRICK,HYPER,8,732,PEAK
CANNON BALLERS,HAT TRICK,ANOTHER,10,1118,NOTES
INFINITAS,Ha･lle･lu･jah,NORMAL,4,,
INFINITAS,Ha･lle･lu･jah,HYPER,7,,
INFINITAS,Ha･lle･lu･jah,ANOTHER,9,911,NOTES
INFINITAS,Ha･lle･lu･jah,LEGGENDARIA,10,1141,NOTES
CastHour,HEARTACHE,NORMAL,3,251,SCRATCH
CastHour,HEARTACHE,HYPER,7,603,SCRATCH
CastHour,HEARTACHE,ANOTHER,10,930,SCRATCH
GOLD,heaven above,NORMAL,5,,
GOLD,heaven above,HYPER,7,711,PEAK
GOLD,heaven above,ANOTHER,9,928,PEAK
DistorteD,Heavenly Sun (IIDX VERSION),NORMAL,4,421,PEAK
DistorteD,Heavenly Sun (IIDX VERSION),HYPER,7,806,NOTES
DistorteD,Heavenly Sun (IIDX VERSION),ANOTHER,10,1060,NOTES
DistorteD,Heavenly Sun (IIDX VERSION),LEGGENDARIA,11,1550,NOTES
Rootage,HEISEI,BEGINNER,2,190,PEAK
Rootage,HEISEI,NORMAL,6,590,PEAK
Rootage,HEISEI,HYPER,10,992,PEAK
Rootage,HEISEI,ANOTHER,11,1291,CHORD
CANNON BALLERS,Hella Deep,NORMAL,4,,
CANNON BALLERS,Hella Deep,HYPER,7,538,PEAK
CANNON BALLERS,Hella Deep,ANOTHER,10,959,SCRATCH
PENDUAL,Hello Happiness,NORMAL,5,461,NOTES
PENDUAL,Hello Happiness,HYPER,9,871,NOTES
PENDUAL,Hello Happiness,ANOTHER,11,1198,NOTES
Pinky Crush,Here We Go Now,NORMAL,6,,
Pinky Crush,Here We Go Now,HYPER,10,1127,NOTES
Pinky Crush,Here We Go Now,ANOTHER,12,1690,CHORD
10th style,HIGH,NORMAL,5,,
10th style,HIGH,HYPER,9,975,PEAK
10th style,HIGH,ANOTHER,9,1088,CHORD
GOLD,High School Love,BEGINNER,2,204,PEAK
GOLD,High School Love,NORMAL,4,,
GOLD,High School Love,HYPER,6,788,PEAK
GOLD,High School Love,ANOTHER,9,1106,CHORD
BISTROVER,HIGH VOLTAGE,NORMAL,4,,
BISTROVER,HIGH VOLTAGE,HYPER,7,730,PEAK
