バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性
EPOLIS,Echoes of Sunfall,HYPER,8,817,PEAK
EPOLIS,Echoes of Sunfall,ANOTHER,11,1410,NOTES
HAPPY SKY,EDEN,NORMAL,7,640,NOTES
HAPPY SKY,EDEN,HYPER,8,733,NOTES
HAPPY SKY,EDEN,ANOTHER,10,1377,CHORD
HAPPY SKY,EDEN,LEGGENDARIA,11,1647,CHORD
SINOBUZ,Egret and Willow,NORMAL,6,533,NOTES
SINOBUZ,Egret and Willow,HYPER,8,847,PEAK
SINOBUZ,Egret and Willow,ANOTHER,11,1286,CHORD
CANNON BALLERS,Eine Haube ～聖地の果てにあるもの～,NORMAL,5,503,NOTES
CANNON BALLERS,Eine Haube ～聖地の果てにあるもの～,HYPER,9,765,NOTES
CANNON BALLERS,Eine Haube ～聖地の果てにあるもの～,ANOTHER,12,,
Resort Anthem,ELECTRIC MASSIVE DIVER,NORMAL,6,,
Resort Anthem,ELECTRIC MASSIVE DIVER,HYPER,9,1020,PEAK
Resort Anthem,ELECTRIC MASSIVE DIVER,ANOTHER,12,,
SPADA,Elektrick U-Phoria,NORMAL,5,654,NOTES
SPADA,Elektrick U-Phoria,HYPER,8,1048,NOTES
SPADA,Elektrick U-Phoria,ANOTHER,12,1763,NOTES
SPADA,Elektrick U-Phoria,LEGGENDARIA,12,2164,NOTES
SPADA,Element of SPADA,NORMAL,3,355,NOTES
SPADA,Element of SPADA,HYPER,6,686,PEAK
SPADA,Element of SPADA,ANOTHER,9,1217,CHORD
SPADA,Element of SPADA,LEGGENDARIA,11,1571,CHORD
SINOBUZ,elemental bender feat. Kanae Asaba,NORMAL,3,319,NOTES
SINOBUZ,elemental bender feat. Kanae Asaba,HYPER,6,609,NOTES
SINOBUZ,elemental bender feat. Kanae Asaba,ANOTHER,8,846,SOF-LAN
tricoro,Elemental Creation,NORMAL,8,828,NOTES
tricoro,Elemental Creation,HYPER,10,1268,NOTES
tricoro,Elemental Creation,ANOTHER,12,2222,CHORD
SIRIUS,Elisha,NORMAL,5,481,PEAK
SIRIUS,Elisha,HYPER,9,822,PEAK
SIRIUS,Elisha,ANOTHER,11,1390,CHARGE
Pinky Crush,ELYSIUM,NORMAL,5,509,NOTES
Pinky Crush,ELYSIUM,HYPER,8,821,NOTES
Pinky Crush,ELYSIUM,ANOTHER,11,1384,CHORD
Rootage,Ember Lights,NORMAL,5,530,CHARGE
Rootage,Ember Lights,HYPER,9,863,CHARGE
Rootage,Ember Lights,ANOTHER,11,1296,CHARGE
CastHour,Emera,NORMAL,5,482,PEAK
CastHour,Emera,HYPER,8,861,NOTES
CastHour,Emera,ANOTHER,11,1266,PEAK
CANNON BALLERS,EMERALDAS,NORMAL,7,691,PEAK
CANNON BALLERS,EMERALDAS,HYPER,11,1293,PEAK
CANNON BALLERS,EMERALDAS,ANOTHER,12,,
CastHour,EMOTiON TRiPPER,NORMAL,5,504,NOTES
CastHour,EMOTiON TRiPPER,HYPER,8,769,NOTES
CastHour,EMOTiON TRiPPER,ANOTHER,10,1103,CHORD
tricoro,Empathetic,NORMAL,4,411,NOTES
tricoro,Empathetic,HYPER,8,809,NOTES
tricoro,Empathetic,ANOTHER,11,1161,NOTES
4th style,empathy,NORMAL,4,411,PEAK
4th style,empathy,HYPER,11,961,PEAK
BISTROVER,Empire of Fury,NORMAL,7,680,PEAK
BISTROVER,Empire of Fury,HYPER,10,1088,NOTES
BISTROVER,Empire of Fury,ANOTHER,12,,
SIRIUS,Empire State Glory,NORMAL,6,596,NOTES
SIRIUS,Empire State Glory,HYPER,10,1041,NOTES
SIRIUS,Empire State Glory,ANOTHER,11,1351,NOTES
HAPPY SKY,EMPTY OF THE SKY,NORMAL,3,334,PEAK
HAPPY SKY,EMPTY OF THE SKY,HYPER,5,526,PEAK
HAPPY SKY,EMPTY OF THE SKY,ANOTHER,8,842,PEAK
CANNON BALLERS,encounter,NORMAL,5,,
CANNON BALLERS,encounter,HYPER,9,886,NOTES
CANNON BALLERS,encounter,ANOTHER,12,,
DJ TROOPERS,end of world,NORMAL,5,523,PEAK
DJ TROOPERS,end of world,HYPER,10,924,PEAK
DJ TROOPERS,end of world,ANOTHER,11,1357,NOTES
Resort Anthem,Energy Drive,NORMAL,6,452,PEAK
Resort Anthem,Energy Drive,HYPER,8,835,PEAK
Resort Anthem,Energy Drive,ANOTHER,11,1230,CHARGE
SPADA,Engraved Mark,NORMAL,4,430,SCRATCH
SPADA,Engraved Mark,HYPER,8,713,PEAK
SPADA,Engraved Mark,ANOTHER,11,1209,NOTES
PENDUAL,entelecheia,NORMAL,7,589,PEAK
PENDUAL,entelecheia,HYPER,10,1094,NOTES
PENDUAL,entelecheia,ANOTHER,12,,
7th style,entrance,NORMAL,6,648,NOTES
7th style,entrance,HYPER,8,778,NOTES
7th style,entrance,ANOTHER,10,1150,NOTES
3rd style,era (nostalmix),NORMAL,5,437,SOF-LAN
3rd style,era (nostalmix),HYPER,12,952,SOF-LAN
3rd style,era (nostalmix),ANOTHER,12,1226,SOF-LAN
4th style,era (step mix),NORMAL,4,503,SOF-LAN
4th style,era (step mix),HYPER,8,728,SOF-LAN
4th style,era (step mix),ANOTHER,12,1226,SOF-LAN
SIRIUS,eRAseRmOToRpHAntOM,NORMAL,8,788,PEAK
SIRIUS,eRAseRmOToRpHAntOM,HYPER,10,1281,CHORD
SIRIUS,eRAseRmOToRpHAntOM,ANOTHER,12,1798,CHORD
CastHour,Ergosphere,NORMAL,5,517,NOTES
CastHour,Ergosphere,HYPER,9,972,NOTES
CastHour,Ergosphere,ANOTHER,11,1345,NOTES
HEROIC VERSE,EROICA,NORMAL,7,702,CHARGE
HEROIC VERSE,EROICA,HYPER,10,1213,CHARGE
HEROIC VERSE,EROICA,ANOTHER,12,,
PENDUAL,Erosion Mark,NORMAL,4,,
PENDUAL,Erosion Mark,HYPER,8,798,NOTES
PENDUAL,Erosion Mark,ANOTHER,11,1186,CHORD
SPADA,esrev:eR,NORMAL,6,565,NOTES
SPADA,esrev:eR,HYPER,8,862,NOTES
SPADA,esrev:eR,ANOTHER,9,1063,NOTES
5th style,Estella,NORMAL,6,567,PEAK
5th style,Estella,HYPER,10,799,PEAK
BISTROVER,Euphoric Lagoon,NORMAL,5,,
BISTROVER,Euphoric Lagoon,HYPER,8,790,NOTES
BISTROVER,Euphoric Lagoon,ANOTHER,10,1309,CHORD
DistorteD,EURO-ROMANCE,NORMAL,5,494,PEAK
DistorteD,EURO-ROMANCE,HYPER,8,893,NOTES
DistorteD,EURO-ROMANCE,ANOTHER,11,1363,CHORD
Rootage,EVANESCENT,NORMAL,6,660,SOF-LAN
Rootage,EVANESCENT,HYPER,10,1174,SOF-LAN
Rootage,EVANESCENT,ANOTHER,12,,
SIRIUS,Evans,NORMAL,7,679,PEAK
SIRIUS,Evans,HYPER,10,1046,PEAK
SIRIUS,Evans,ANOTHER,12,,
DJ TROOPERS,evergreen,NORMAL,5,519,NOTES
DJ TROOPERS,evergreen,HYPER,8,740,PEAK
DJ TROOPERS,evergreen,ANOTHER,11,1037,PEAK
copula,Everlasting Last,NORMAL,5,555,NOTES
copula,Everlasting Last,HYPER,8,809,NOTES
copula,Everlasting Last,ANOTHER,10,1237,NOTES
HEROIC VERSE,Everlasting Message,NORMAL,7,619,PEAK
HEROIC VERSE,Everlasting Message,HYPER,11,1149,PEAK
HEROIC VERSE,Everlasting Message,ANOTHER,12,1781,CHARGE
Resort Anthem,Everlasting Resort,NORMAL,5,472,PEAK
Resort Anthem,Everlasting Resort,HYPER,7,750,PEAK
Resort Anthem,Everlasting Resort,ANOTHER,10,1058,PEAK
Pinky Crush,EX-MASSIVE FIGHTER,NORMAL,6,614,NOTES
Pinky Crush,EX-MASSIVE FIGHTER,HYPER,10,1099,NOTES
Pinky Crush,EX-MASSIVE FIGHTER,ANOTHER,12,,
tricoro,examination leave,NORMAL,6,704,NOTES
tricoro,examination leave,HYPER,10,1148,CHORD
tricoro,examination leave,ANOTHER,11,1613,CHORD
copula,Exchange Place,NORMAL,4,408,PEAK
copula,Exchange Place,HYPER,7,629,PEAK
copula,Exchange Place,ANOTHER,9,907,PEAK
10th style,EXE,NORMAL,4,450,NOTES
10th style,EXE,HYPER,8,854,NOTES
CANNON BALLERS,Exhaust Hype,NORMAL,5,,
CANNON BALLERS,Exhaust Hype,HYPER,9,963,NOTES
CANNON BALLERS,Exhaust Hype,ANOTHER,11,1393,CHORD
RESIDENT,EXODUS SIGN,NORMAL,6,633,PEAK
RESIDENT,EXODUS SIGN,HYPER,9,946,PEAK
RESIDENT,EXODUS SIGN,ANOTHER,11,1275,PEAK
CANNON BALLERS,Expanded !!,NORMAL,4,341,NOTES
CANNON BALLERS,Expanded !!,HYPER,8,759,NOTES
CANNON BALLERS,Expanded !!,ANOTHER,10,1377,CHORD
BISTROVER,Explorer feat. ぷにぷに電機,NORMAL,5,,
BISTROVER,Explorer feat. ぷにぷに電機,HYPER,7,713,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,ANOTHER,10,1001,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,LEGGENDARIA,11,1438,NOTES
Lincle,Express Emotion,NORMAL,4,395,PEAK
Lincle,Express Emotion,HYPER,6,654,NOTES
Lincle,Express Emotion,ANOTHER,9,1248,NOTES
SPADA,EXTREME MACH COLLIDER,NORMAL,5,485,NOTES
SPADA,EXTREME MACH COLLIDER,HYPER,9,852,NOTES
SPADA,EXTREME MACH COLLIDER,ANOTHER,10,1007,SCRATCH
SIRIUS,EXUSIA,NORMAL,8,887,NOTES
SIRIUS,EXUSIA,HYPER,10,1392,NOTES
SIRIUS,EXUSIA,ANOTHER,12,1980,NOTES
Lincle,F,NORMAL,5,532,NOTES
Lincle,F,HYPER,10,1258,NOTES
Lincle,F,ANOTHER,12,1760,NOTES
RESIDENT,Fading Stars,NORMAL,5,,
RESIDENT,Fading Stars,HYPER,8,874,NOTES
RESIDENT,Fading Stars,ANOTHER,10,1292,NOTES
HEROIC VERSE,fairy cocktail,NORMAL,3,230,PEAK
HEROIC VERSE,fairy cocktail,HYPER,6,567,PEAK
HEROIC VERSE,fairy cocktail,ANOTHER,8,861,CHARGE
INFINITAS,FAKE STYLE II,NORMAL,4,,
INFINITAS,FAKE STYLE II,HYPER,7,762,NOTES
INFINITAS,FAKE STYLE II,ANOTHER,10,,
PENDUAL,fallen leaves -IIDX edition-,NORMAL,6,629,CHARGE
PENDUAL,fallen leaves -IIDX edition-,HYPER,9,967,CHORD
PENDUAL,fallen leaves -IIDX edition-,ANOTHER,12,,
Resort Anthem,Fantasia,NORMAL,4,309,PEAK
Resort Anthem,Fantasia,HYPER,8,,
Resort Anthem,Fantasia,ANOTHER,10,1216,CHORD
CastHour,Fantastic Merry-Go-Round,NORMAL,4,533,NOTES
CastHour,Fantastic Merry-Go-Round,HYPER,7,752,NOTES
CastHour,Fantastic Merry-Go-Round,ANOTHER,9,1088,CHORD
PENDUAL,FANTASTIC THREE,NORMAL,7,682,NOTES
PENDUAL,FANTASTIC THREE,HYPER,10,1125,PEAK
PENDUAL,FANTASTIC THREE,ANOTHER,12,,
Lincle,Far east nightbird,NORMAL,4,373,NOTES
Lincle,Far east nightbird,HYPER,8,738,PEAK
Lincle,Far east nightbird,ANOTHER,10,1126,PEAK
BISTROVER,Farewell to Marrakech,NORMAL,5,506,PEAK
BISTROVER,Farewell to Marrakech,HYPER,8,853,NOTES
BISTROVER,Farewell to Marrakech,ANOTHER,11,1279,PEAK
GOLD,Fascination MAXX,NORMAL,9,475,SOF-LAN
GOLD,Fascination MAXX,HYPER,10,825,SOF-LAN
GOLD,Fascination MAXX,ANOTHER,12,,
INFINITAS,FEEDING FRENZY,NORMAL,7,731,NOTES
INFINITAS,FEEDING FRENZY,HYPER,10,1163,NOTES
INFINITAS,FEEDING FRENZY,ANOTHER,12,,
10th style,FEEL IT,NORMAL,5,573,NOTES
10th style,FEEL IT,HYPER,9,1002,PEAK
10th style,FEEL IT,ANOTHER,10,1119,PEAK
SPADA,Feel The Beat,NORMAL,6,578,SCRATCH
SPADA,Feel The Beat,HYPER,9,1049,SCRATCH
SPADA,Feel The Beat,ANOTHER,11,1628,NOTES
SPADA,Feel The Beat,LEGGENDARIA,12,,
CastHour,Fegrix,NORMAL,6,649,NOTES
CastHour,Fegrix,HYPER,10,1175,NOTES
CastHour,Fegrix,ANOTHER,12,,
CANNON BALLERS,Fervidex,NORMAL,5,427,NOTES
CANNON BALLERS,Fervidex,HYPER,9,912,PEAK
CANNON BALLERS,Fervidex,ANOTHER,11,1397,CHORD
Lincle,fffff,NORMAL,5,611,NOTES
Lincle,fffff,HYPER,10,1297,NOTES
Lincle,fffff,ANOTHER,12,1703,NOTES
CastHour,FINALLY BLAZE,NORMAL,5,481,PEAK
CastHour,FINALLY BLAZE,HYPER,9,878,NOTES
CastHour,FINALLY BLAZE,ANOTHER,11,1278,NOTES
CANNON BALLERS,FIRE BALL,NORMAL,5,402,NOTES
CANNON BALLERS,FIRE BALL,HYPER,9,833,NOTES
CANNON BALLERS,FIRE BALL,ANOTHER,11,1238,NOTES
BISTROVER,Fire Beat,NORMAL,6,492,NOTES
BISTROVER,Fire Beat,HYPER,10,961,NOTES
BISTROVER,Fire Beat,ANOTHER,12,,
GOLD,FIRE FIRE,NORMAL,7,616,SCRATCH
GOLD,FIRE FIRE,HYPER,9,962,PEAK
GOLD,FIRE FIRE,ANOTHER,11,1162,SCRATCH
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,NORMAL,5,575,PEAK
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,HYPER,8,970,NOTES
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,ANOTHER,10,1337,CHORD
EMPRESS,Flash Back 90's,NORMAL,5,526,PEAK
EMPRESS,Flash Back 90's,HYPER,8,815,PEAK
EMPRESS,Flash Back 90's,ANOTHER,9,1001,NOTES
EMPRESS,Flash Back 90's,LEGGENDARIA,10,1318,NOTES
PENDUAL,Flashes,NORMAL,6,596,NOTES
PENDUAL,Flashes,HYPER,9,1009,NOTES
PENDUAL,Flashes,ANOTHER,12,,
Lincle,Flip Flap,NORMAL,3,293,NOTES
Lincle,Flip Flap,HYPER,7,662,NOTES
Lincle,Flip Flap,ANOTHER,10,1004,CHORD
tricoro,FLOWER,NORMAL,6,605,PEAK
tricoro,FLOWER,HYPER,9,977,PEAK
tricoro,FLOWER,ANOTHER,12,,
4th style,FLOWERS for ALBION,NORMAL,5,190,PEAK
4th style,FLOWERS for ALBION,HYPER,7,222,PEAK
8th style,FLUTE MAN,NORMAL,5,376,PEAK
8th style,FLUTE MAN,HYPER,7,472,PEAK
8th style,FLUTE MAN,ANOTHER,9,553,PEAK
EMPRESS,Fly Above,NORMAL,5,,
EMPRESS,Fly Above,HYPER,8,894,CHORD
EMPRESS,Fly Above,ANOTHER,9,1061,CHORD
6th style,fly through the night,NORMAL,4,452,PEAK
6th style,fly through the night,HYPER,8,688,PEAK
6th style,fly through the night,ANOTHER,10,981,PEAK
tricoro,Fly you to the star,NORMAL,4,410,SCRATCH
tricoro,Fly you to the star,HYPER,8,744,NOTES
tricoro,Fly you to the star,ANOTHER,11,,
CastHour,Flying Castle,NORMAL,6,547,NOTES
CastHour,Flying Castle,HYPER,10,1132,NOTES
CastHour,Flying Castle,ANOTHER,12,,
Lincle,Follow Tomorrow,NORMAL,4,490,PEAK
Lincle,Follow Tomorrow,HYPER,8,819,NOTES
Lincle,Follow Tomorrow,ANOTHER,10,1193,CHORD
HEROIC VERSE,Forgetting Machine,NORMAL,5,358,NOTES
HEROIC VERSE,Forgetting Machine,HYPER,8,620,NOTES
HEROIC VERSE,Forgetting Machine,ANOTHER,10,826,PEAK
DJ TROOPERS,four pieces of heaven,NORMAL,6,481,SOF-LAN
DJ TROOPERS,four pieces of heaven,HYPER,10,965,SOF-LAN
DJ TROOPERS,four pieces of heaven,ANOTHER,12,,
DJ TROOPERS,four pieces of heaven,LEGGENDARIA,12,1560,SOF-LAN
GOLD,four-leaf,NORMAL,4,386,PEAK
GOLD,four-leaf,HYPER,8,642,PEAK
tricoro,Fractal,NORMAL,8,883,NOTES
tricoro,Fractal,HYPER,10,1293,NOTES
tricoro,Fractal,ANOTHER,12,,
6th style,Free Style,NORMAL,6,473,NOTES
6th style,Free Style,HYPER,6,579,NOTES
CANNON BALLERS,FREEDOM,NORMAL,5,507,SCRATCH
CANNON BALLERS,FREEDOM,HYPER,8,852,NOTES
CANNON BALLERS,FREEDOM,ANOTHER,11,,
DJ TROOPERS,Freeway Shuffle,NORMAL,5,416,PEAK
DJ TROOPERS,Freeway Shuffle,HYPER,8,669,PEAK
DJ TROOPERS,Freeway Shuffle,ANOTHER,9,916,NOTES
EPOLIS,frequent,NORMAL,5,655,NOTES
EPOLIS,frequent,HYPER,10,,
EPOLIS,frequent,ANOTHER,12,,
HEROIC VERSE,Friction[!]Function,NORMAL,6,553,PEAK
HEROIC VERSE,Friction[!]Function,HYPER,9,1008,NOTES
HEROIC VERSE,Friction[!]Function,ANOTHER,12,1546,PEAK
BISTROVER,Frisk And Squeak,NORMAL,4,428,SCRATCH
BISTROVER,Frisk And Squeak,HYPER,8,811,PEAK
BISTROVER,Frisk And Squeak,ANOTHER,10,1230,SCRATCH
CANNON BALLERS,From Time To Time,NORMAL,4,404,NOTES
CANNON BALLERS,From Time To Time,HYPER,10,983,NOTES
CANNON BALLERS,From Time To Time,ANOTHER,11,,
6th style,Frozen Ray (original mix),NORMAL,5,428,PEAK
6th style,Frozen Ray (original mix),HYPER,9,839,PEAK
6th style,Frozen Ray (original mix),ANOTHER,9,937,PEAK
9th style,fun,NORMAL,4,,
9th style,fun,HYPER,7,574,SOF-LAN
9th style,fun,ANOTHER,10,950,SOF-LAN
SPADA,Funny shuffle,NORMAL,4,308,SCRATCH
SPADA,Funny shuffle,HYPER,7,639,NOTES
SPADA,Funny shuffle,ANOTHER,11,1312,CHORD
CANNON BALLERS,FUTURE is Dead,NORMAL,5,443,SCRATCH
CANNON BALLERS,FUTURE is Dead,HYPER,8,740,PEAK
CANNON BALLERS,FUTURE is Dead,ANOTHER,11,1095,SOF-LAN
SINOBUZ,FUZIN RIZIN,NORMAL,6,650,NOTES
SINOBUZ,FUZIN RIZIN,HYPER,9,944,NOTES
SINOBUZ,FUZIN RIZIN,ANOTHER,12,,
6th style,G2,NORMAL,6,665,PEAK
6th style,G2,HYPER,7,830,PEAK
6th style,G2,ANOTHER,12,,
SIRIUS,G59,NORMAL,6,652,PEAK
SIRIUS,G59,HYPER,11,1210,NOTES
SIRIUS,G59,ANOTHER,12,,
tricoro,GAIA,NORMAL,5,610,NOTES
tricoro,GAIA,HYPER,10,1074,PEAK
tricoro,GAIA,ANOTHER,12,1854,NOTES
SIRIUS,GALGALIM,NORMAL,7,708,NOTES
SIRIUS,GALGALIM,HYPER,10,979,NOTES
SIRIUS,GALGALIM,ANOTHER,12,1197,NOTES
1st&substream,GAMBOL,NORMAL,2,137,PEAK
1st&substream,GAMBOL,HYPER,2,137,PEAK
CastHour,Game Changers,NORMAL,4,386,PEAK
CastHour,Game Changers,HYPER,8,759,SCRATCH
CastHour,Game Changers,ANOTHER,11,1353,CHORD
DistorteD,Ganymede,NORMAL,8,612,PEAK
DistorteD,Ganymede,HYPER,11,,
DistorteD,Ganymede,ANOTHER,12,,
DistorteD,Ganymede,LEGGENDARIA,12,,
HAPPY SKY,garden,NORMAL,4,461,PEAK
HAPPY SKY,garden,HYPER,7,774,PEAK
HAPPY SKY,garden,ANOTHER,12,,
Rootage,Garuda,NORMAL,6,541,NOTES
Rootage,Garuda,HYPER,9,876,NOTES
Rootage,Garuda,ANOTHER,11,,
Rootage,Geirskogul,NORMAL,5,555,NOTES
Rootage,Geirskogul,HYPER,8,745,NOTES
Rootage,Geirskogul,ANOTHER,10,1122,PEAK
Rootage,GENE,NORMAL,7,659,PEAK
Rootage,GENE,HYPER,9,990,PEAK
Rootage,GENE,ANOTHER,12,,
copula,GENERATE feat.綾倉盟,NORMAL,5,566,NOTES
copula,GENERATE feat.綾倉盟,HYPER,8,941,NOTES
copula,GENERATE feat.綾倉盟,ANOTHER,10,1234,CHORD
IIDX RED,GENOCIDE,NORMAL,6,588,PEAK
IIDX RED,GENOCIDE,HYPER,12,,
IIDX RED,GENOCIDE,ANOTHER,12,,
1st&substream,GENOM SCREAMS,NORMAL,3,211,PEAK
1st&substream,GENOM SCREAMS,HYPER,6,,
1st&substream,GENOM SCREAMS,ANOTHER,9,538,PEAK
EPOLIS,Get Higher,NORMAL,6,509,PEAK
EPOLIS,Get Higher,HYPER,9,909,PEAK
EPOLIS,Get Higher,ANOTHER,11,,
RESIDENT,Get On Your Feet,NORMAL,5,587,PEAK
RESIDENT,Get On Your Feet,HYPER,9,944,PEAK
RESIDENT,Get On Your Feet,ANOTHER,11,,
copula,GET READY!!,NORMAL,6,552,PEAK
copula,GET READY!!,HYPER,9,818,SOF-LAN
copula,GET READY!!,ANOTHER,12,,
CastHour,Get set， Go! feat.Kanae Asaba,NORMAL,4,432,NOTES
CastHour,Get set， Go! feat.Kanae Asaba,HYPER,7,766,NOTES
CastHour,Get set， Go! feat.Kanae Asaba,ANOTHER,10,1115,NOTES
RESIDENT,GET UP AGAIN,NORMAL,6,588,NOTES
RESIDENT,GET UP AGAIN,HYPER,8,821,NOTES
RESIDENT,GET UP AGAIN,ANOTHER,10,1227,CHORD
CANNON BALLERS,Get Up! feat. Kanae Asaba,NORMAL,4,341,PEAK
CANNON BALLERS,Get Up! feat. Kanae Asaba,HYPER,7,686,PEAK
CANNON BALLERS,Get Up! feat. Kanae Asaba,ANOTHER,9,1000,NOTES
EPOLIS,Get Wicked,NORMAL,5,464,PEAK
EPOLIS,Get Wicked,HYPER,8,744,NOTES
EPOLIS,Get Wicked,ANOTHER,10,1132,NOTES
HAPPY SKY,Get'em up to R.A.V.E,NORMAL,5,595,PEAK
HAPPY SKY,Get'em up to R.A.V.E,HYPER,8,890,NOTES
INFINITAS,GHEL NAGARAJA,NORMAL,6,697,NOTES
INFINITAS,GHEL NAGARAJA,HYPER,10,,
INFINITAS,GHEL NAGARAJA,ANOTHER,12,1848,NOTES
HEROIC VERSE,GHOST,NORMAL,5,418,SOF-LAN
HEROIC VERSE,GHOST,HYPER,8,749,PEAK
HEROIC VERSE,GHOST,ANOTHER,11,,
EPOLIS,Ghost Pulse,NORMAL,6,517,PEAK
EPOLIS,Ghost Pulse,HYPER,9,877,NOTES
EPOLIS,Ghost Pulse,ANOTHER,12,,
10th style,GHOST REVIVAL,NORMAL,4,466,PEAK
10th style,GHOST REVIVAL,HYPER,9,1049,NOTES
10th style,GHOST REVIVAL,ANOTHER,12,,
BISTROVER,GIGA RAID,NORMAL,5,501,NOTES
BISTROVER,GIGA RAID,HYPER,9,924,NOTES
BISTROVER,GIGA RAID,ANOTHER,11,,
Rootage,GIGA THRASH,NORMAL,7,662,NOTES
Rootage,GIGA THRASH,HYPER,9,1002,NOTES
Rootage,GIGA THRASH,ANOTHER,12,1503,NOTES
HEROIC VERSE,GIGA VIOLATE,NORMAL,6,547,PEAK
HEROIC VERSE,GIGA VIOLATE,HYPER,8,827,NOTES
HEROIC VERSE,GIGA VIOLATE,ANOTHER,11,,
IIDX RED,gigadelic,NORMAL,10,754,PEAK
IIDX RED,gigadelic,HYPER,12,1110,PEAK
IIDX RED,gigadelic,ANOTHER,12,1344,PEAK
CastHour,GiGaGaHell,NORMAL,7,697,NOTES
CastHour,GiGaGaHell,HYPER,10,1048,PEAK
CastHour,GiGaGaHell,ANOTHER,12,1594,PEAK
Lincle,GIGANT,NORMAL,3,316,PEAK
Lincle,GIGANT,HYPER,7,678,NOTES
Lincle,GIGANT,ANOTHER,10,1068,NOTES
INFINITAS,Gimme a Big Beat,NORMAL,5,455,NOTES
INFINITAS,Gimme a Big Beat,HYPER,8,735,NOTES
INFINITAS,Gimme a Big Beat,ANOTHER,10,,
EPOLIS,Glitch N Ride,NORMAL,7,513,SOF-LAN
EPOLIS,Glitch N Ride,HYPER,10,846,SOF-LAN
EPOLIS,Glitch N Ride,ANOTHER,12,,
8th style,Giudecca,NORMAL,5,600,PEAK
8th style,Giudecca,HYPER,10,1129,PEAK
8th style,Giudecca,ANOTHER,11,,
SPADA,Give Me Your Love,NORMAL,4,,
SPADA,Give Me Your Love,HYPER,7,686,PEAK
SPADA,Give Me Your Love,ANOTHER,10,1027,PEAK
BISTROVER,Globe Glitter,NORMAL,5,,
BISTROVER,Globe Glitter,HYPER,8,860,NOTES
BISTROVER,Globe Glitter,ANOTHER,11,,
EPOLIS,GloriosA,NORMAL,6,601,NOTES
EPOLIS,GloriosA,HYPER,9,920,PEAK
EPOLIS,GloriosA,ANOTHER,11,,
7th style,Glorious Days,NORMAL,6,395,SCRATCH
7th style,Glorious Days,HYPER,7,461,SOF-LAN
EPOLIS,GLORIOUS HAMMER,NORMAL,6,611,NOTES
EPOLIS,GLORIOUS HAMMER,HYPER,9,1040,NOTES
EPOLIS,GLORIOUS HAMMER,ANOTHER,11,,
Rootage,Glory,NORMAL,4,376,SCRATCH
Rootage,Glory,HYPER,7,838,NOTES
Rootage,Glory,ANOTHER,10,1168,NOTES
SINOBUZ,Go Ahead!!,NORMAL,7,498,PEAK
SINOBUZ,Go Ahead!!,HYPER,10,792,PEAK
SINOBUZ,Go Ahead!!,ANOTHER,12,,
EMPRESS,Go Beyond!!,NORMAL,6,528,PEAK
EMPRESS,Go Beyond!!,HYPER,10,822,PEAK
EMPRESS,Go Beyond!!,ANOTHER,12,1087,PEAK
copula,Go Faraway,NORMAL,5,571,PEAK
copula,Go Faraway,HYPER,9,931,NOTES
copula,Go Faraway,ANOTHER,11,1363,CHORD
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,NORMAL,6,558,PEAK
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,HYPER,10,1129,NOTES
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,ANOTHER,12,,
Pinky Crush,God Mind,NORMAL,7,803,NOTES
Pinky Crush,God Mind,HYPER,10,1220,PEAK
Pinky Crush,God Mind,ANOTHER,12,,
copula,Godspeed,NORMAL,7,701,NOTES
copula,Godspeed,HYPER,10,1112,NOTES
copula,Godspeed,ANOTHER,12,,
GOLD,GOLD RUSH,NORMAL,6,601,NOTES
GOLD,GOLD RUSH,HYPER,8,851,NOTES
GOLD,GOLD RUSH,ANOTHER,10,1186,CHORD
Resort Anthem,Golden Palms,NORMAL,5,503,PEAK
Resort Anthem,Golden Palms,HYPER,9,853,CHARGE
Resort Anthem,Golden Palms,ANOTHER,10,1185,CHARGE
Resort Anthem,Golden Palms,LEGGENDARIA,11,,
10th style,GRADIUS -FULL SPEED-,NORMAL,3,385,SOF-LAN
10th style,GRADIUS -FULL SPEED-,HYPER,7,643,SOF-LAN
10th style,GRADIUS -FULL SPEED-,ANOTHER,11,,
tricoro,GRADIUS 2012,NORMAL,5,532,NOTES
tricoro,GRADIUS 2012,HYPER,8,817,NOTES
tricoro,GRADIUS 2012,ANOTHER,11,,
1st&substream,GRADIUSIC CYBER,NORMAL,4,409,NOTES
1st&substream,GRADIUSIC CYBER,HYPER,9,556,PEAK
1st&substream,GRADIUSIC CYBER,ANOTHER,9,631,NOTES
copula,Grand Chariot,NORMAL,7,620,PEAK
copula,Grand Chariot,HYPER,10,1035,NOTES
copula,Grand Chariot,ANOTHER,12,,
PENDUAL,Gravigazer,NORMAL,5,511,SCRATCH
PENDUAL,Gravigazer,HYPER,9,912,PEAK
PENDUAL,Gravigazer,ANOTHER,12,,
INFINITAS,GRAVITON,NORMAL,6,610,NOTES
