バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性,カテゴリ
INFINITAS,GHEL NAGARAJA,PSYCHEDELIC TRANCE,ANOTHER,12,1848,NOTES,初期収録曲
HEROIC VERSE,GHOST,Hommarju,NORMAL,5,418,SOF-LAN,楽曲パック vol.20
HEROIC VERSE,GHOST,Hommarju,HYPER,8,749,PEAK,楽曲パック vol.20
HEROIC VERSE,GHOST,Hommarju,ANOTHER,11,1354,NOTES,楽曲パック vol.20
EPOLIS,Ghost Pulse,crayvxn,NORMAL,6,517,PEAK,楽曲パック vol.28
EPOLIS,Ghost Pulse,crayvxn,HYPER,9,877,NOTES,楽曲パック vol.28
EPOLIS,Ghost Pulse,crayvxn,ANOTHER,12,,,楽曲パック vol.28
10th style,GHOST REVIVAL,L.E.D.,NORMAL,4,466,PEAK,初期収録曲
10th style,GHOST REVIVAL,L.E.D.,HYPER,9,1049,NOTES,初期収録曲
10th style,GHOST REVIVAL,L.E.D.,ANOTHER,12,1409,PEAK,初期収録曲
BISTROVER,GIGA RAID,Blacklolita,NORMAL,5,501,NOTES,楽曲パック vol.22
BISTROVER,GIGA RAID,Blacklolita,HYPER,9,924,NOTES,楽曲パック vol.22
BISTROVER,GIGA RAID,Blacklolita,ANOTHER,11,1356,CHORD,楽曲パック vol.22
Rootage,GIGA THRASH,Blacklolita,NORMAL,7,662,NOTES,楽曲パック vol.16
Rootage,GIGA THRASH,Blacklolita,HYPER,9,1002,NOTES,楽曲パック vol.16
Rootage,GIGA THRASH,Blacklolita,ANOTHER,12,1503,NOTES,楽曲パック vol.16
HEROIC VERSE,GIGA VIOLATE,Blacklolita,NORMAL,6,547,PEAK,楽曲パック vol.20
HEROIC VERSE,GIGA VIOLATE,Blacklolita,HYPER,8,827,NOTES,楽曲パック vol.20
HEROIC VERSE,GIGA VIOLATE,Blacklolita,ANOTHER,11,1445,PEAK,楽曲パック vol.20
IIDX RED,gigadelic,teranoid feat.MC Natsack,NORMAL,10,754,PEAK,BIT解禁曲
IIDX RED,gigadelic,teranoid feat.MC Natsack,HYPER,12,1110,PEAK,BIT解禁曲
IIDX RED,gigadelic,teranoid feat.MC Natsack,ANOTHER,12,1344,PEAK,BIT解禁曲
CastHour,GiGaGaHell,"m1dy, RoughSketch",NORMAL,7,697,NOTES,楽曲パック vol.24
CastHour,GiGaGaHell,"m1dy, RoughSketch",HYPER,10,1048,PEAK,楽曲パック vol.24
CastHour,GiGaGaHell,"m1dy, RoughSketch",ANOTHER,12,1594,PEAK,楽曲パック vol.24
Lincle,GIGANT,seiya-murai,NORMAL,3,316,PEAK,楽曲パック vol.1
Lincle,GIGANT,seiya-murai,HYPER,7,678,NOTES,楽曲パック vol.1
Lincle,GIGANT,seiya-murai,ANOTHER,10,1068,NOTES,楽曲パック vol.1
INFINITAS,Gimme a Big Beat,kors k,NORMAL,5,455,NOTES,jubeat セレクション 楽曲パック vol.1
INFINITAS,Gimme a Big Beat,kors k,HYPER,8,735,NOTES,jubeat セレクション 楽曲パック vol.1
INFINITAS,Gimme a Big Beat,kors k,ANOTHER,10,1187,CHORD,jubeat セレクション 楽曲パック vol.1
EPOLIS,Glitch N Ride,Eagle,NORMAL,7,513,SOF-LAN,楽曲パック vol.28
EPOLIS,Glitch N Ride,Eagle,HYPER,10,846,SOF-LAN,楽曲パック vol.28
EPOLIS,Glitch N Ride,Eagle,ANOTHER,12,1349,SOF-LAN,楽曲パック vol.28
8th style,Giudecca,D.J.SETUP,NORMAL,5,600,PEAK,BIT解禁曲
8th style,Giudecca,D.J.SETUP,HYPER,10,1129,PEAK,BIT解禁曲
8th style,Giudecca,D.J.SETUP,ANOTHER,11,1392,NOTES,BIT解禁曲
SPADA,Give Me Your Love,星野奏子,NORMAL,4,,,楽曲パック vol.7
SPADA,Give Me Your Love,星野奏子,HYPER,7,686,PEAK,楽曲パック vol.7
SPADA,Give Me Your Love,星野奏子,ANOTHER,10,1027,PEAK,楽曲パック vol.7
BISTROVER,Globe Glitter,"Sana,ATSUMI UEDA by BEMANI Sound Team ""PON""",NORMAL,5,547,NOTES,楽曲パック vol.22
BISTROVER,Globe Glitter,"Sana,ATSUMI UEDA by BEMANI Sound Team ""PON""",HYPER,8,860,NOTES,楽曲パック vol.22
BISTROVER,Globe Glitter,"Sana,ATSUMI UEDA by BEMANI Sound Team ""PON""",ANOTHER,11,1351,NOTES,楽曲パック vol.22
EPOLIS,GloriosA,KARUT,NORMAL,6,601,NOTES,楽曲パック vol.27
EPOLIS,GloriosA,KARUT,HYPER,9,920,PEAK,楽曲パック vol.27
EPOLIS,GloriosA,KARUT,ANOTHER,11,1322,PEAK,楽曲パック vol.27
7th style,Glorious Days,Noria,NORMAL,6,395,SCRATCH,初期収録曲
7th style,Glorious Days,Noria,HYPER,7,461,SOF-LAN,初期収録曲
EPOLIS,GLORIOUS HAMMER,AJURIKA,NORMAL,6,611,NOTES,楽曲パック vol.28
EPOLIS,GLORIOUS HAMMER,AJURIKA,HYPER,9,1040,NOTES,楽曲パック vol.28
EPOLIS,GLORIOUS HAMMER,AJURIKA,ANOTHER,11,1520,NOTES,楽曲パック vol.28
Rootage,Glory,kradness,NORMAL,4,376,SCRATCH,楽曲パック vol.16
Rootage,Glory,kradness,HYPER,7,838,NOTES,楽曲パック vol.16
Rootage,Glory,kradness,ANOTHER,10,1168,NOTES,楽曲パック vol.16
SINOBUZ,Go Ahead!!,Ryu☆ Vs. Sota,NORMAL,7,498,PEAK,楽曲パック vol.12
SINOBUZ,Go Ahead!!,Ryu☆ Vs. Sota,HYPER,10,792,PEAK,楽曲パック vol.12
SINOBUZ,Go Ahead!!,Ryu☆ Vs. Sota,ANOTHER,12,1403,PEAK,楽曲パック vol.12
EMPRESS,Go Beyond!!,Ryu☆ Vs. Sota,NORMAL,6,528,PEAK,BIT解禁曲
EMPRESS,Go Beyond!!,Ryu☆ Vs. Sota,HYPER,10,822,PEAK,BIT解禁曲
EMPRESS,Go Beyond!!,Ryu☆ Vs. Sota,ANOTHER,12,1087,PEAK,BIT解禁曲
copula,Go Faraway,DJ Noriken feat. Yukacco,NORMAL,5,571,PEAK,BIT解禁曲
copula,Go Faraway,DJ Noriken feat. Yukacco,HYPER,9,931,NOTES,BIT解禁曲
copula,Go Faraway,DJ Noriken feat. Yukacco,ANOTHER,11,1363,CHORD,BIT解禁曲
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,"BEMANI Sound Team ""L.E.D.-G""",NORMAL,6,558,PEAK,楽曲パック vol.18
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,"BEMANI Sound Team ""L.E.D.-G""",HYPER,10,1129,NOTES,楽曲パック vol.18
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,"BEMANI Sound Team ""L.E.D.-G""",ANOTHER,12,1769,CHORD,楽曲パック vol.18
Pinky Crush,God Mind,Tatsunoshin,NORMAL,7,803,NOTES,楽曲パック vol.29
Pinky Crush,God Mind,Tatsunoshin,HYPER,10,1220,PEAK,楽曲パック vol.29
Pinky Crush,God Mind,Tatsunoshin,ANOTHER,12,,,楽曲パック vol.29
copula,Godspeed,dj TAKA xxx 猫叉Master xxx L.E.D.,NORMAL,7,701,NOTES,楽曲パック vol.10
copula,Godspeed,dj TAKA xxx 猫叉Master xxx L.E.D.,HYPER,10,1112,NOTES,楽曲パック vol.10
copula,Godspeed,dj TAKA xxx 猫叉Master xxx L.E.D.,ANOTHER,12,1707,NOTES,楽曲パック vol.10
GOLD,GOLD RUSH,DJ YOSHITAKA-G feat.Michael a la mode,NORMAL,6,601,NOTES,初期収録曲
GOLD,GOLD RUSH,DJ YOSHITAKA-G feat.Michael a la mode,HYPER,8,851,NOTES,初期収録曲
GOLD,GOLD RUSH,DJ YOSHITAKA-G feat.Michael a la mode,ANOTHER,10,1186,CHORD,初期収録曲
Resort Anthem,Golden Palms,Dirty Androids,NORMAL,5,503,PEAK,初期収録曲
Resort Anthem,Golden Palms,Dirty Androids,HYPER,9,853,CHARGE,初期収録曲
Resort Anthem,Golden Palms,Dirty Androids,ANOTHER,10,1185,CHARGE,初期収録曲
Resort Anthem,Golden Palms,Dirty Androids,LEGGENDARIA,11,1264,CHARGE,初期収録曲
10th style,GRADIUS -FULL SPEED-,Mr.T,NORMAL,3,385,SOF-LAN,BIT解禁曲
10th style,GRADIUS -FULL SPEED-,Mr.T,HYPER,7,643,SOF-LAN,BIT解禁曲
10th style,GRADIUS -FULL SPEED-,Mr.T,ANOTHER,11,1074,SOF-LAN,BIT解禁曲
tricoro,GRADIUS 2012,Sota Fujimori,NORMAL,5,532,NOTES,楽曲パック vol.4
tricoro,GRADIUS 2012,Sota Fujimori,HYPER,8,817,NOTES,楽曲パック vol.4
tricoro,GRADIUS 2012,Sota Fujimori,ANOTHER,11,1459,NOTES,楽曲パック vol.4
1st&substream,GRADIUSIC CYBER,TAKA,NORMAL,4,409,NOTES,初期収録曲
1st&substream,GRADIUSIC CYBER,TAKA,HYPER,9,556,PEAK,初期収録曲
1st&substream,GRADIUSIC CYBER,TAKA,ANOTHER,9,631,NOTES,初期収録曲
copula,Grand Chariot,xi,NORMAL,7,620,PEAK,初期収録曲
copula,Grand Chariot,xi,HYPER,10,1035,NOTES,初期収録曲
copula,Grand Chariot,xi,ANOTHER,12,1866,NOTES,初期収録曲
PENDUAL,Gravigazer,DJ TOTTO,NORMAL,5,511,SCRATCH,楽曲パック vol.9
PENDUAL,Gravigazer,DJ TOTTO,HYPER,9,912,PEAK,楽曲パック vol.9
PENDUAL,Gravigazer,DJ TOTTO,ANOTHER,12,1524,NOTES,楽曲パック vol.9
INFINITAS,GRAVITON,"BEMANI Sound Team ""L.E.D.""",NORMAL,6,610,NOTES,初期収録曲
INFINITAS,GRAVITON,"BEMANI Sound Team ""L.E.D.""",HYPER,10,1073,NOTES,初期収録曲
INFINITAS,GRAVITON,"BEMANI Sound Team ""L.E.D.""",ANOTHER,12,,,初期収録曲
HAPPY SKY,GREEN EYES,SLAKE,NORMAL,6,494,PEAK,BIT解禁曲
HAPPY SKY,GREEN EYES,SLAKE,HYPER,9,828,PEAK,BIT解禁曲
HAPPY SKY,GREEN EYES,SLAKE,ANOTHER,11,1123,PEAK,BIT解禁曲
GOLD,GRID KNIGHT,SAW WAVE SQUAD,NORMAL,7,813,NOTES,BIT解禁曲
GOLD,GRID KNIGHT,SAW WAVE SQUAD,HYPER,8,1056,NOTES,BIT解禁曲
GOLD,GRID KNIGHT,SAW WAVE SQUAD,ANOTHER,10,1396,CHORD,BIT解禁曲
GOLD,GRID KNIGHT,SAW WAVE SQUAD,LEGGENDARIA,12,1855,CHORD,BIT解禁曲
INFINITAS,GROOVE 04,android52,NORMAL,4,,,楽曲パック vol.25
INFINITAS,GROOVE 04,android52,HYPER,7,681,NOTES,楽曲パック vol.25
INFINITAS,GROOVE 04,android52,ANOTHER,9,910,CHORD,楽曲パック vol.25
PENDUAL,GUILTY,D.J.SETUP,NORMAL,5,521,NOTES,楽曲パック vol.9
PENDUAL,GUILTY,D.J.SETUP,HYPER,9,837,PEAK,楽曲パック vol.9
PENDUAL,GUILTY,D.J.SETUP,ANOTHER,11,1087,NOTES,楽曲パック vol.9
SINOBUZ,GuNGNiR,Gram,NORMAL,7,681,NOTES,BIT解禁曲
SINOBUZ,GuNGNiR,Gram,HYPER,10,1420,NOTES,BIT解禁曲
SINOBUZ,GuNGNiR,Gram,ANOTHER,12,2175,NOTES,BIT解禁曲
SINOBUZ,GuNGNiR,Gram,LEGGENDARIA,12,2428,NOTES,BIT解禁曲
SINOBUZ,HADES,Massive New Krew,NORMAL,5,475,PEAK,スタートアップセレクション 楽曲パック vol.1
SINOBUZ,HADES,Massive New Krew,HYPER,9,964,NOTES,スタートアップセレクション 楽曲パック vol.1
SINOBUZ,HADES,Massive New Krew,ANOTHER,12,1564,PEAK,スタートアップセレクション 楽曲パック vol.1
Lincle,HAERETICUS,D.J.Amuro Vs MAX MAXIMIZER,NORMAL,5,458,NOTES,楽曲パック vol.2
Lincle,HAERETICUS,D.J.Amuro Vs MAX MAXIMIZER,HYPER,10,1004,PEAK,楽曲パック vol.2
Lincle,HAERETICUS,D.J.Amuro Vs MAX MAXIMIZER,ANOTHER,12,1535,NOTES,楽曲パック vol.2
GOLD,HALF MOON,Mutsuhiko Izumi,NORMAL,4,387,SCRATCH,BIT解禁曲
GOLD,HALF MOON,Mutsuhiko Izumi,HYPER,7,742,PEAK,BIT解禁曲
7th style,Happy Wedding,ASKA,NORMAL,6,610,PEAK,初期収録曲
7th style,Happy Wedding,ASKA,HYPER,8,899,NOTES,初期収録曲
7th style,Happy Wedding,ASKA,ANOTHER,10,1061,PEAK,初期収録曲
HAPPY SKY,HAPPY☆ANGEL,jun with TAHIRIH,NORMAL,6,555,NOTES,初期収録曲
HAPPY SKY,HAPPY☆ANGEL,jun with TAHIRIH,HYPER,7,776,NOTES,初期収録曲
HAPPY SKY,HAPPY☆ANGEL,jun with TAHIRIH,ANOTHER,10,1073,NOTES,初期収録曲
INFINITAS,HAPPY☆LUCKY☆YEAPPY,DJ ミラクル☆ストーン,NORMAL,5,564,SCRATCH,楽曲パック vol.25
INFINITAS,HAPPY☆LUCKY☆YEAPPY,DJ ミラクル☆ストーン,HYPER,9,1002,SCRATCH,楽曲パック vol.25
INFINITAS,HAPPY☆LUCKY☆YEAPPY,DJ ミラクル☆ストーン,ANOTHER,11,1461,CHORD,楽曲パック vol.25
Rootage,HARD BRAIN,AJURIKA,NORMAL,6,706,NOTES,楽曲パック vol.17
Rootage,HARD BRAIN,AJURIKA,HYPER,9,1095,NOTES,楽曲パック vol.17
Rootage,HARD BRAIN,AJURIKA,ANOTHER,12,1903,NOTES,楽曲パック vol.17
EPOLIS,Hard Breaker,Nhato,NORMAL,4,416,PEAK,BPL セレクション 楽曲パック vol.2
EPOLIS,Hard Breaker,Nhato,HYPER,8,797,PEAK,BPL セレクション 楽曲パック vol.2
EPOLIS,Hard Breaker,Nhato,ANOTHER,10,1234,PEAK,BPL セレクション 楽曲パック vol.2
CastHour,hard-wired,Yuta Imai ≡ Blacklolita,NORMAL,7,813,NOTES,BIT解禁曲
CastHour,hard-wired,Yuta Imai ≡ Blacklolita,HYPER,10,1185,NOTES,BIT解禁曲
CastHour,hard-wired,Yuta Imai ≡ Blacklolita,ANOTHER,12,,,BIT解禁曲
Resort Anthem,Hardcore Mania,DJ Weaver,NORMAL,5,512,NOTES,BIT解禁曲
Resort Anthem,Hardcore Mania,DJ Weaver,HYPER,8,865,PEAK,BIT解禁曲
Resort Anthem,Hardcore Mania,DJ Weaver,ANOTHER,10,1097,NOTES,BIT解禁曲
INFINITAS,Harmonia,ATSUMI UEDA,NORMAL,4,379,NOTES,pop'n music セレクション 楽曲パック vol.1
INFINITAS,Harmonia,ATSUMI UEDA,HYPER,7,641,NOTES,pop'n music セレクション 楽曲パック vol.1
INFINITAS,Harmonia,ATSUMI UEDA,ANOTHER,10,1007,NOTES,pop'n music セレクション 楽曲パック vol.1
DistorteD,Harmony and Lovely,Ryu☆,NORMAL,5,457,PEAK,BIT解禁曲
DistorteD,Harmony and Lovely,Ryu☆,HYPER,9,896,NOTES,BIT解禁曲
DistorteD,Harmony and Lovely,Ryu☆,ANOTHER,11,1122,PEAK,BIT解禁曲
CastHour,Hat Surprise,Hommarju,NORMAL,4,350,SCRATCH,BPL セレクション 楽曲パック vol.1
CastHour,Hat Surprise,Hommarju,HYPER,8,820,NOTES,BPL セレクション 楽曲パック vol.1
CastHour,Hat Surprise,Hommarju,ANOTHER,11,1246,PEAK,BPL セレクション 楽曲パック vol.1
RESIDENT,Hat Surprise (Season 2),Hommarju,NORMAL,5,524,NOTES,楽曲パック vol.19
RESIDENT,Hat Surprise (Season 2),Hommarju,HYPER,9,947,NOTES,楽曲パック vol.19
RESIDENT,Hat Surprise (Season 2),Hommarju,ANOTHER,12,1703,NOTES,楽曲パック vol.19
EPOLIS,Hat Surprise (Season 3),Hommarju,NORMAL,6,623,NOTES,BPL セレクション 楽曲パック vol.2
EPOLIS,Hat Surprise (Season 3),Hommarju,HYPER,10,,,BPL セレクション 楽曲パック vol.2
EPOLIS,Hat Surprise (Season 3),Hommarju,ANOTHER,11,1345,NOTES,BPL セレクション 楽曲パック vol.2
CANNON BALLERS,HAT TRICK,P*Light,NORMAL,5,465,NOTES,楽曲パック vol.14
CANNON BALLERS,HAT TRICK,P*Light,HYPER,8,777,PEAK,楽曲パック vol.14
CANNON BALLERS,HAT TRICK,P*Light,ANOTHER,10,1215,CHORD,楽曲パック vol.14
INFINITAS,Ha･lle･lu･jah,SOUND HOLIC feat. Nana Takahashi,NORMAL,4,394,PEAK,SOUND VOLTEX セレクション 楽曲パック vol.1
INFINITAS,Ha･lle･lu･jah,SOUND HOLIC feat. Nana Takahashi,HYPER,7,672,NOTES,SOUND VOLTEX セレクション 楽曲パック vol.1
INFINITAS,Ha･lle･lu･jah,SOUND HOLIC feat. Nana Takahashi,ANOTHER,9,873,NOTES,SOUND VOLTEX セレクション 楽曲パック vol.1
INFINITAS,Ha･lle･lu･jah,SOUND HOLIC feat. Nana Takahashi,LEGGENDARIA,10,1130,CHORD,SOUND VOLTEX セレクション 楽曲パック vol.1
CastHour,HEARTACHE,"BEMANI Sound Team ""HuΣeR"" feat.ゆきまめ",NORMAL,3,371,SCRATCH,楽曲パック vol.18
CastHour,HEARTACHE,"BEMANI Sound Team ""HuΣeR"" feat.ゆきまめ",HYPER,7,689,SCRATCH,楽曲パック vol.18
CastHour,HEARTACHE,"BEMANI Sound Team ""HuΣeR"" feat.ゆきまめ",ANOTHER,10,1045,SCRATCH,楽曲パック vol.18
GOLD,heaven above,kors k,NORMAL,5,419,PEAK,BIT解禁曲
GOLD,heaven above,kors k,HYPER,7,706,PEAK,BIT解禁曲
GOLD,heaven above,kors k,ANOTHER,9,921,PEAK,BIT解禁曲
DistorteD,Heavenly Sun (IIDX VERSION),AKIRA YAMAOKA,NORMAL,4,421,PEAK,初期収録曲
DistorteD,Heavenly Sun (IIDX VERSION),AKIRA YAMAOKA,HYPER,8,805,NOTES,初期収録曲
DistorteD,Heavenly Sun (IIDX VERSION),AKIRA YAMAOKA,ANOTHER,10,1060,NOTES,初期収録曲
DistorteD,Heavenly Sun (IIDX VERSION),AKIRA YAMAOKA,LEGGENDARIA,11,1504,NOTES,初期収録曲
Rootage,HEISEI,"BEMANI Sound Team ""dj TAKA""",NORMAL,6,581,PEAK,スタートアップセレクション 楽曲パック vol.3
Rootage,HEISEI,"BEMANI Sound Team ""dj TAKA""",HYPER,10,1033,PEAK,スタートアップセレクション 楽曲パック vol.3
Rootage,HEISEI,"BEMANI Sound Team ""dj TAKA""",ANOTHER,11,,,スタートアップセレクション 楽曲パック vol.3
CANNON BALLERS,Hella Deep,MASAYOSHI IIMORI,NORMAL,4,328,SCRATCH,楽曲パック vol.14
CANNON BALLERS,Hella Deep,MASAYOSHI IIMORI,HYPER,8,554,SCRATCH,楽曲パック vol.14
CANNON BALLERS,Hella Deep,MASAYOSHI IIMORI,ANOTHER,10,959,SCRATCH,楽曲パック vol.14
PENDUAL,Hello Happiness,P*Light feat. mow*2,NORMAL,5,421,NOTES,楽曲パック vol.9
PENDUAL,Hello Happiness,P*Light feat. mow*2,HYPER,8,715,NOTES,楽曲パック vol.9
PENDUAL,Hello Happiness,P*Light feat. mow*2,ANOTHER,11,1134,NOTES,楽曲パック vol.9
Pinky Crush,Here We Go Now,Whac-A-Me,NORMAL,6,578,PEAK,楽曲パック vol.29
Pinky Crush,Here We Go Now,Whac-A-Me,HYPER,10,1031,PEAK,楽曲パック vol.29
Pinky Crush,Here We Go Now,Whac-A-Me,ANOTHER,12,,,楽曲パック vol.29
10th style,HIGH,RAM,NORMAL,6,692,NOTES,BIT解禁曲
10th style,HIGH,RAM,HYPER,9,945,NOTES,BIT解禁曲
10th style,HIGH,RAM,ANOTHER,10,1233,CHORD,BIT解禁曲
GOLD,High School Love,DJ YOSHITAKA feat.DWP,NORMAL,5,439,PEAK,BIT解禁曲
GOLD,High School Love,DJ YOSHITAKA feat.DWP,HYPER,7,771,PEAK,BIT解禁曲
GOLD,High School Love,DJ YOSHITAKA feat.DWP,ANOTHER,9,1123,CHORD,BIT解禁曲
BISTROVER,HIGH VOLTAGE,Yuta Imai,NORMAL,4,420,PEAK,楽曲パック vol.22
BISTROVER,HIGH VOLTAGE,Yuta Imai,HYPER,7,731,PEAK,楽曲パック vol.22
BISTROVER,HIGH VOLTAGE,Yuta Imai,ANOTHER,10,1191,PEAK,楽曲パック vol.22
copula,Highcharge Divolt,HuΣeR,NORMAL,6,527,PEAK,楽曲パック vol.10
copula,Highcharge Divolt,HuΣeR,HYPER,10,863,PEAK,楽曲パック vol.10
copula,Highcharge Divolt,HuΣeR,ANOTHER,12,1431,PEAK,楽曲パック vol.10
4th style,HIGHER,NM feat. Sunny,NORMAL,4,362,PEAK,BIT解禁曲
4th style,HIGHER,NM feat. Sunny,HYPER,6,578,NOTES,BIT解禁曲
4th style,HIGHER,NM feat. Sunny,ANOTHER,7,611,PEAK,BIT解禁曲
2nd style,Hitch Hiker,good-cool,NORMAL,4,372,NOTES,BIT解禁曲
2nd style,Hitch Hiker,good-cool,HYPER,6,,,BIT解禁曲
4th style,Hitch Hiker2,good-cool,NORMAL,5,518,PEAK,BIT解禁曲
4th style,Hitch Hiker2,good-cool,HYPER,9,880,PEAK,BIT解禁曲
4th style,Hitch Hiker2,good-cool,ANOTHER,9,864,PEAK,BIT解禁曲
4th style,Hitch Hiker2,good-cool,LEGGENDARIA,10,975,NOTES,BIT解禁曲
HEROIC VERSE,Hold My Hand,"BEMANI Sound Team ""Sota Fujimori""",NORMAL,5,424,PEAK,楽曲パック vol.19
HEROIC VERSE,Hold My Hand,"BEMANI Sound Team ""Sota Fujimori""",HYPER,8,809,NOTES,楽曲パック vol.19
HEROIC VERSE,Hold My Hand,"BEMANI Sound Team ""Sota Fujimori""",ANOTHER,10,1264,CHORD,楽曲パック vol.19
3rd style,Holic,TaQ,NORMAL,7,680,PEAK,BIT解禁曲
3rd style,Holic,TaQ,HYPER,10,875,NOTES,BIT解禁曲
3rd style,Holic,TaQ,ANOTHER,12,1136,NOTES,BIT解禁曲
tricoro,Hollywood Galaxy,dj TAKA,NORMAL,6,579,NOTES,楽曲パック vol.4
tricoro,Hollywood Galaxy,dj TAKA,HYPER,9,1022,NOTES,楽曲パック vol.4
tricoro,Hollywood Galaxy,dj TAKA,ANOTHER,12,1378,PEAK,楽曲パック vol.4
PENDUAL,Hollywood Galaxy(DJ NAGAI Remix),Remixed by DJ NAGAI,NORMAL,6,607,NOTES,BIT解禁曲
PENDUAL,Hollywood Galaxy(DJ NAGAI Remix),Remixed by DJ NAGAI,HYPER,10,1254,NOTES,BIT解禁曲
PENDUAL,Hollywood Galaxy(DJ NAGAI Remix),Remixed by DJ NAGAI,ANOTHER,12,,,BIT解禁曲
tricoro,Holy Snow,Mutsuhiko Izumi,NORMAL,6,605,NOTES,初期収録曲
tricoro,Holy Snow,Mutsuhiko Izumi,HYPER,10,1069,NOTES,初期収録曲
tricoro,Holy Snow,Mutsuhiko Izumi,ANOTHER,12,,,初期収録曲
INFINITAS,Hopeful Daybreak!!!,cosMo@暴走P,NORMAL,5,413,PEAK,GITADORA セレクション 楽曲パック vol.1
INFINITAS,Hopeful Daybreak!!!,cosMo@暴走P,HYPER,8,777,PEAK,GITADORA セレクション 楽曲パック vol.1
INFINITAS,Hopeful Daybreak!!!,cosMo@暴走P,ANOTHER,11,1427,NOTES,GITADORA セレクション 楽曲パック vol.1
Pinky Crush,hora de verdad,Vandalusia改,NORMAL,6,555,PEAK,The 4th セレクション 楽曲パック vol.1
Pinky Crush,hora de verdad,Vandalusia改,HYPER,10,,,The 4th セレクション 楽曲パック vol.1
Pinky Crush,hora de verdad,Vandalusia改,ANOTHER,12,,,The 4th セレクション 楽曲パック vol.1
SINOBUZ,Honey Trap,Expander,NORMAL,5,435,PEAK,楽曲パック vol.13
SINOBUZ,Honey Trap,Expander,HYPER,8,822,NOTES,楽曲パック vol.13
SINOBUZ,Honey Trap,Expander,ANOTHER,11,1286,CHORD,楽曲パック vol.13
IIDX RED,HORIZON,LIA,NORMAL,5,547,PEAK,BIT解禁曲
IIDX RED,HORIZON,LIA,HYPER,7,818,NOTES,BIT解禁曲
IIDX RED,HORIZON,LIA,ANOTHER,9,1027,NOTES,BIT解禁曲
HEROIC VERSE,Horizons of Promise,"BEMANI Sound Team ""SPIRITUAL RIDE""",NORMAL,4,472,PEAK,楽曲パック vol.20
HEROIC VERSE,Horizons of Promise,"BEMANI Sound Team ""SPIRITUAL RIDE""",HYPER,7,762,PEAK,楽曲パック vol.20
HEROIC VERSE,Horizons of Promise,"BEMANI Sound Team ""SPIRITUAL RIDE""",ANOTHER,10,1366,CHORD,楽曲パック vol.20
8th style,Hormiga obrera,Shawn The Horny Master,NORMAL,6,736,PEAK,BIT解禁曲
8th style,Hormiga obrera,Shawn The Horny Master,HYPER,8,,,BIT解禁曲
8th style,Hormiga obrera,Shawn The Horny Master,ANOTHER,9,1055,PEAK,BIT解禁曲
tricoro,Howling,PON,NORMAL,4,321,SCRATCH,楽曲パック vol.3
tricoro,Howling,PON,HYPER,7,710,NOTES,楽曲パック vol.3
tricoro,Howling,PON,ANOTHER,10,1060,NOTES,楽曲パック vol.3
tricoro,Howling,PON,LEGGENDARIA,11,1427,NOTES,楽曲パック vol.3
Rootage,Hurry Hurry,Masayoshi Iimori,NORMAL,4,379,SCRATCH,楽曲パック vol.16
Rootage,Hurry Hurry,Masayoshi Iimori,HYPER,6,527,NOTES,楽曲パック vol.16
Rootage,Hurry Hurry,Masayoshi Iimori,ANOTHER,9,1032,CHORD,楽曲パック vol.16
SIRIUS,Hydrogen Blueback,MAD CHILD,NORMAL,5,573,NOTES,初期収録曲
SIRIUS,Hydrogen Blueback,MAD CHILD,HYPER,8,877,PEAK,初期収録曲
SIRIUS,Hydrogen Blueback,MAD CHILD,ANOTHER,10,1165,CHORD,初期収録曲
SIRIUS,Hydrogen Blueback,MAD CHILD,LEGGENDARIA,11,1241,SCRATCH,初期収録曲
SPADA,HYENA,Hommarju,NORMAL,5,531,NOTES,楽曲パック vol.7
SPADA,HYENA,Hommarju,HYPER,8,943,NOTES,楽曲パック vol.7
SPADA,HYENA,Hommarju,ANOTHER,11,1433,NOTES,楽曲パック vol.7
CANNON BALLERS,HYPE THE CORE,DJ CHUCKY,NORMAL,7,564,NOTES,楽曲パック vol.15
CANNON BALLERS,HYPE THE CORE,DJ CHUCKY,HYPER,10,1046,NOTES,楽曲パック vol.15
CANNON BALLERS,HYPE THE CORE,DJ CHUCKY,ANOTHER,12,1871,CHORD,楽曲パック vol.15
8th style,HYPER BOUNDARY GATE,L.E.D.LIGHT,NORMAL,6,636,NOTES,BIT解禁曲
8th style,HYPER BOUNDARY GATE,L.E.D.LIGHT,HYPER,8,955,NOTES,BIT解禁曲
8th style,HYPER BOUNDARY GATE,L.E.D.LIGHT,ANOTHER,10,1115,NOTES,BIT解禁曲
HEROIC VERSE,Hyper Drive feat. ぷにぷに電機,パソコン音楽クラブ,NORMAL,3,339,NOTES,楽曲パック vol.19
HEROIC VERSE,Hyper Drive feat. ぷにぷに電機,パソコン音楽クラブ,HYPER,7,761,NOTES,楽曲パック vol.19
HEROIC VERSE,Hyper Drive feat. ぷにぷに電機,パソコン音楽クラブ,ANOTHER,9,1000,NOTES,楽曲パック vol.19
9th style,HYPER EUROBEAT (2DX style),NAOKI feat.PAULA TERRY,NORMAL,6,604,NOTES,BIT解禁曲
